id,titulo,enunciado
1,Caso práctico de desahucio de okupas marzo 2025..pdf,"Ana María y María Ana, madre e hija suelen ir todos los años de vacaciones a un piso
que tiene Ana María en LLoret de Mar, (Cataluña), partido judicial de Blanes. Ana
María y su hija que viven en Badajoz emprenden el viaje de vacaciones con el coche
cargado hasta la baca, esperando disfrutar tres idílicos meses de vacaciones de verano.
Al llegar y descargar el coche, suben al piso, pero vaya sorpresa desagradable al darse
cuenta de que sus llaves no pueden abrir la puerta.

Ana María empieza a sudar frío y sigue intentando meter la llave en la cerradura. Su
hija, más nerviosa empieza a aporrear la puerta y a gritar que como podía estar
pasando todo aquello, que tenía que ir al baño y que, estaba agotada después de este
largo viaje.

Con todo el ruido que hacían, sale la vecina y les comenta que el piso está ocupado por
Uuna pareja muy simpática, con tres hijos pequeños y, que todos los del bloque
pensaban que Ana María lo había alquilado.

En medio de la barahúnda que se formó, con los demás vecinos que se fueron
juntando frente a la puerta del piso de Ana María, todos hablando a la vez, abre la
puerta la simpática pareja y les dice a todos que han ocupado el piso, que no tienen
para dónde ir, que en el momento se encuentran en situación de vulnerabilidad
económica y que si Ana María quiere su piso, tendrá que reclamarlo en la justicia,
porque ellos de allí no se han a mover.

Todos quedan mudos de asombro y Ana María, mujer muy práctica y acostumbrada a
los reveses de la vida, coge su hija y emprende el largo camino de regreso a Badajoz,
dispuesta a recurrir a la justicia para salvaguardar sus derechos como propietaria del
inmueble.

Al interponer la demanda Ana María solicita la inmediata entrega de la posesión de la
vivienda, al haber sido privada de ella sin su consentimiento."
2,Caso práctico efectividad derechos reales 250.1.7 18-02-26..pdf,"La sociedad mercantil denominada ARRENDO INMUEBLES, S.A., especializada en
activos como viviendas, oficinas y locales comerciales que compra, vende y alquila por
toda España a través de sus distintas sucursales, es propietaria del piso destinado a uso
residencial particular sito en la calle Toledo n? 15, piso 22, puerta C, de Valladolid.

ARRENDO INMUEBLES, S.A. es una empresa de inversión en bienes inmobiliarios de tipo
SOCIMI (Sociedades Anónimas Cotizadas de Inversión en el Mercado Inmobiliario),
debidamente inscrita en el Registro Mercantil y con condición legal de gran tenedora
(en la actualidad, es propietaria de cientos de inmuebles urbanos de uso residencial por
todo el país).

El inmueble indicado, en concreto, fue adquirido en subasta judicial por uno de sus
socios tras un proceso hipotecario que se demoró más de una década y desde entonces
consta debidamente inscrito en el Registro de la Propiedad a nombre de la sociedad
mercantil referida con un valor catastral de 85.240 euros.

Publicitado como oferta de alquiler el inmueble en el portal telemático de ARRENDO
INMUEBLES S.A. se produjo el suceso de ser presuntamente ocupado ilegalmente por
varias personas no identificadas, quienes desde entonces residen en la vivienda sin
consentimiento del propietario, ni contrato anterior vigente, ni título de ningún tipo.

Por la empresa inmobiliaria se sabe que los supuestos ocupas que viven en el domicilio
son una pareja española del barrio en paro con dos niños pequeños a su cargo, sin que
hasta la fecha hayan atendido los requerimientos de desalojo realizados por el
gabinete jurídico de ARRENDO INMUEBLES S.A.

Antes de iniciar la vía judicial para el desalojo de los ocupantes se procede a averiguar
la identidad personal y circunstancias económicas de los mismos a fin de intentar
alcanzar un acuerdo amistoso a través de una vía de conciliación privada, arrojando la
iniciativa extrajudicial un resultado negativo.

En la demanda que finalmente se presenta se fija como caución, a prestar por la parte
demandada en caso de contestar la demanda, la cantidad de 2.995 euros por valor de
los daños y perjuicios que hubieren podido realizar en la vivienda, más las costas del
juicio.

© preparadordanieldortaegmail.com © Edanieldortajusticia º Daniel Dorta Justicia"
3,Caso práctico monitorio..pdf,"Al bufete de abogados LEX 8: JURIS le han encargado por la comunidad de propietarios
LA RIBIERA, sita en la localidad de Valencia, la reclamación por vía judicial de las
cantidades que adeudan diversos propietarios de la finca. Son cantidades debidas por
los titulares de bienes inmuebles urbanos en concepto de gastos comunes.

La comunidad referida es un conjunto de edificaciones urbanas con un total de cien
viviendas, de las cuales ocho no están al corriente del pago de las cuotas. Por el
despacho jurídico se han llevado a cabo iniciativas de mediación para evitar la
reclamación judicial, pero sin éxito.

LA RIBIERA convocó y celebró reunión extraordinaria de la junta de propietarios en la
que se aprobó la liquidación de la deuda alcanzada por cada uno de los propietarios
deudores, así como autorizar al secretario-administrador con cualificación profesional
necesaria y legalmente reconocida poder exigir judicialmente las obligaciones de pago
de las deudas.

Tras la junta celebrada con el quorum exigido por la ley, el secretario-administrador
emite las certificaciones del acuerdo de liquidación de las deudas bajo los requisitos
exigidos por el artículo 21 de la Ley 49/1960, de 21 de julio, sobre propiedad
horizontal, para poder instar las reclamaciones judiciales a través del procedimiento
monitorio regulado en la Ley de Enjuiciamiento Civil.

Por otro lado, el bufete de abogados LEX 8: JURIS también tiene entre su cartera de
clientes a la empresa MONEY RAPID, popular financiera que se publicita a través de
redes sociales ofreciendo la concesión de préstamos personales rápidos de cantidades
que oscilan desde los 300 € y hasta un máximo de 95.000 €.

La prestamista le ha encargado al despacho jurídico la reclamación de los préstamos
impagados que tiene pendientes de cobrar, de modo que el bufete inicia las
reclamaciones también a través de procesos monitorios, siguiendo la mismas
iniciativas extrajudiciales y judiciales que con su cliente LA RIBIERA."
4,PRÁCTICO ABREVIADO CONTENCIOSO T15..pdf,"CASO PRÁCTICO TRAMI 2015 PA CONTENCIOSO

Por Acuerdo del Delegado del Gobierno en X, de fecha 10 de septiembre de 2015, se
acordó imponer a M.E.G., la expulsión del territorio nacional con la consiguiente
prohibición de entrada en el mismo por un período de 3 años, siempre que no exista
causa judicial que lo impida, notificándose dicho Acuerdo al interesado el día 11 de
septiembre siguiente.

El interesado interpuso recurso contencioso-administrativo contra el referido Acuerdo,
no existiendo otras personas afectadas.

Tras el examen del expediente, el Órgano Judicial competente declaró haber lugar a la
admisión del recurso.

La Administración autora del Acuerdo impugnado remitió el expediente administrativo
dentro del plazo legalmente previsto.

Las partes estaban disconformes con los hechos referentes a la resolución impugnada."
5,práctico abreviado penal mayo 2026..pdf,"ºÍº DANIEL DORTA

PREPARADOR DE OPOSICIONES

A la persona física, de iniciales A.P.C., se le ha notificado personalmente el auto dictado por la
Sección de Instrucción Penal del Tribunal de Instancia de la ciudad de Toledo, acordando la
apertura del juicio oral del procedimiento abreviado n2 52/2025.

La acusación es por un presunto delito de estafa por medios informáticos y utilización fraudulenta
de una tarjeta de débito, donde A.P.C. es acusado por el Ministerio Fiscal en calidad de autor.

El tipo penal se encuentra regulado en el Código Penal en el Título XIII denominado “Delitos contra
el patrimonio y el orden socioeconómico”, en concreto, en sus artículos 248 y 249 del texto legal,
con las especificidades determinadas por la ley.

La víctima, de iniciales 1.5.D., es pareja del acusado, con quien empezó una relación afectiva tan
solo unas semanas antes de los hechos enjuiciados, ya que ambos sujetos se conocieron a través de
una aplicación de citas por internet. Precisamente fue 1.5.D. quien formalizó una denuncia en la
comisaría de policía de su localidad, pues el lugar donde se cometieron los hechos fue Illescas
(Toledo).

De la denuncia presentada por 1.5.D. se hizo cargo la Policía Judicial de Toledo que, tan pronto tuvo
conocimiento del hecho delictivo denunciado, llevó a cabo las diligencias necesarias para las
pertinentes comprobaciones conforme a lo preceptuado por las leyes vigentes.

En la fase de averiguación de los hechos denunciados, el Tribunal acordó la práctica del registro
domiciliario del acusado, a petición de los agentes de la Policía Judicial referidos. En ese acto se
produjo la aprehensión de un ordenador y un dispositivo de almacenamiento masivo de
información digital.

Tras el análisis de esos dispositivos por los agentes se pudo verificar el posible delito de estafa por
su presunto autor, A.P.C.

© preparadordanieldortaegmail.com © Edanieldortajusticia º Daniel Dorta Justicia
1

ºÍº DANIEL DORTA

PREPARADOR DE OPOSICIONES"
6,Práctico delito leve AJ24..pdf,"ºÍº DANIEL DORTA

PREPARADOR DE OPOSICIONES

En el Juzgado de Primera Instancia e Instrucción N2 1 de Mahón, en funciones de
guardia, se ha recibido atestado de la Comisaría Local de esta localidad contra Doña
Eugenia Sancho Montero por una posible infracción penal cometida el pasado 15 de
mayo de 2024.

En el mencionado atestado el denunciante D. Florencio Burgos Monasterio
manifiesta que el pasado 15 de mayo de 2024, estando en su domicilio de Mahón,
encontró un anuncio en la página web www.dosmilanuncios.com, donde una
persona ofertaba una entrada para el concierto de Taylor Swift, por un precio de 390
euros. Por tal motivo el denunciante se pone en contacto con el vendedor a través
del número de WhatsApp 616XXX616, acordando que debía hacerle un Bizum de 299
euros y que posteriormente esta persona le remitiría la entrada a su correo
electrónico. El denunciante realizó dicha transferencia, pero no recibió la entrada y el
anunciante le bloqueó de manera que no pudo volver a contactarle.

Por la Policía Local de Mahón se solicitó a la compañía de teléfono la titularidad de la
línea telefónica 616XXX616, respondiendo que en la fecha de los hechos la línea
pertenece a Doña Eugenia Sancho Montero con DNI 1313XXXX-X.

Consultada la base de datos de la DGP se obtiene que la Sra. Sancho Montero tiene
domicilio en la Plaza de España N2 3, piso 5, de la localidad de Ciudadela.

Respecto a la transferencia realizada se solicita a Bizrum que confirme la realización
de la misma y que aporte la titularidad del receptor de la misma, informado que se
realizó la misma en la fecha 15 de mayo de 2024 y que el beneficiario fue Doña
Eugenia Sancho Montero.

Celebrado el juicio con la asistencia de la parte denunciante y el Ministerio Público se
dicta sentencia condenando a la denunciada a dos meses de multa con una cuota
diaria de seis euros, con la responsabilidad personal subsidiaria para el caso de
impago de un día de privación de libertad por cada dos cuotas diarias no satisfechas
y que indemnice al perjudicado en la cantidad de 299 euros, sentencia que fue
recurrida únicamente por la parte denunciada."
7,práctico ejecución..pdf,"Por la entidad financiera BANCO DE OCCIDENTE, S.A., con sede social en Valladolid, se
inician conversaciones con el despacho jurídico CARRASCO 8%: SOTOGRANDE con la idea
de encargarle las reclamaciones judiciales de sus créditos morosos.

En concreto, la entidad financiera posee un total de 52 pólizas de contratos
mercantiles en estado de morosidad, sin que la vía de requerimiento extrajudicial
practicada haya dado un resultado positivo, puesto que las cantidades adeudadas
siguen sin abonarse por parte de los deudores.

Los créditos morosos alcanzan unas cuantías de entre 3.000 y 6.000 euros, pues el
producto se trataba de los conocidos como “créditos rápidos” que se contratan de
manera online. Debido al parón en la actividad económica del país y el aumento del
desempleo, la entidad bancaria teme un repunte de la morosidad, por lo cual decide
acudir a la vía judicial para recuperar su capital.

Por el despacho jurídico CARRASCO 8: SOTOGRANDE se acepta el encargo y sus
abogados comienzan a recabar la documentación necesaria de la entidad bancaria con
el objetivo de redactar las demandas ejecutivas correspondientes."
8,PRÁCTICO INCUMPLIMIENTO VENTA A PLAZOS BIENES MUEBLES..pdf,"ºÍº DANIEL DORTA

PREPARADOR DE OPOSICIONES

PRÁCTICO INCUMPLIMIENTO VENTA A PLAZOS BIENES MUEBLES

El procurador Rogelio Lacalle en representación de la entidad PSA Finance con sede en
Calle Gran vía n 205 en Madrid formula demanda de juicio verbal por incumplimiento
de contrato de contrato de venta a plazos de bienes muebles del artículo 250.1.10%
LEC contra la entidad Renting Canarias con sede en el municipio Las Palmas de Gran
Canaria, que cuenta con partido judicial propio, respecto de la venta a plazos de cinco
vehículos Citroén Berlingo.

La parte actora cuantifica la demanda en 50.000 euros, cantidad que le adeuda la parte
demandada"
9,PRÁCTICO JUICIO CAMBIARIO A08..pdf,"ºÍº DANIEL DORTA

PREPARADOR DE OPOSICIONES

CASO PRÁCTICO CAMBIARIO

D. Luis Gómez Sanz, con domicilio en Ávila, es propietario de una empresa de
materiales de baño y construcción y, fruto de sus relaciones comerciales con D. Pedro
Álvarez Díaz, domiciliado en Segovia, suscribe con éste una letra de cambio en virtud
de la cual el sr. Álvarez Díaz debe pagar, a su vencimiento, la suma de 100.000 euros
por distintos materiales de construcción y elementos de baño que el sr. Gómez le
suministró para la realización de las obras que está llevando a cabo en un chalet de su
propiedad, ubicado en la localidad de Toro (Zamora).

La letra en cuestión figura suscrita en la localidad de Toro y pagadera en la cuenta
corriente que, en la sucursal n£ 1 del Banco Santander en dicha localidad, tiene abierta
el obligado al pago.

Llegado el día estipulado para el vencimiento de la letra resulta impagada por lo que, a
instancias de D. Luis Gómez Sanz, se inicia el correspondiente procedimiento
cambiario, en el cual se dicta resolución acordando las medidas especificadas en el
artículo 821.2 de la LEC para responder de las sumas de euros en concepto de principal
y 25.000 euros calculados para intereses, gastos y costas.

Personada la Comisión Judicial, integrada por el secretario y el auxiliar judicial, en el
domicilio del demandado no se encuentra al mismo y sí a quien dice ser su esposa, D2
Lourdes Pérez Martín, mayor de edad, con DNI 3.378.605, quien manifiesta
desconocer todo lo relativo a la cantidad reclamada añadiendo, por otra parte, que
carece de instrucciones de su esposo para llevar a cabo el pago de que se le requiere.

Por el Procurador de la parte actora, que acompaña a la Comisión Judicial, se solicita el
embargo de los bienes que ya se detalló en su escrito de inicio del procedimiento que
eran los siguientes:

a) Un vehículo marca Renault, modelo Megane, matrícula 4278 CPJ, con valor
estimado en 7.000 euros, que figura en la DGT como titularidad de D. Pedro Álvarez
Díaz.

b) Renta que percibe el demandado por el arrendamiento de un inmueble de su
propiedad, ubicado en la calle Daoiz n£ 7 de Segovia, que asciende a 600 euros
mensuales.

c) El inmueble referido en el apartado anterior y que está inscrito, en el Registro de la
Propiedad de Segovia, al Tomo 14, Libro 25, finca n2 1318, y a nombre de D. Pedro
Álvarez Díaz, con valor estimado en 60.000 euros.

d) Un reloj de oro, marca Rolex, con valor estimado en 14.000 euros.

€e) Sueldo que percibe el demandado del Ministerio de Administraciones Públicas por
importe de 1.500 euros brutos mensuales.

f) Sueldo que percibe la esposa del librado, de la empresa Limpiezas Suárez, y que
asciende a 900 euros brutos mensuales.

© preparadordanieldortaegmail.com © Edanieldortajusticia º Daniel Dorta Justicia
1

£) 400 acciones de una empresa de telecomunicaciones que, al cierre de la última
sesión bursátil, tenían una cotización de 4.872 euros por acción.

h) Una participación del 30% de la Entidad Rodríguez Hermanos SL.

La esposa del demandado manifiesta su negativa a recibir la notificación
correspondiente y el requerimiento de pago, negándose igualmente a firmar
documento alguno.

No consta la existencia de convenio alguno de embargo ni puede determinarse qué
bienes, de los descritos, son más fáciles de enajenar y la enajenación resulta menos
onerosa para el ejecutado."
10,PRÁCTICO JUICIO CAMBIARIO T20-21-22 INC.pdf,"ºÍº DANIEL DORTA

PREPARADOR DE OPOSICIONES

PRÁCTICO JUICIO CAMBIARIO

Venancio S.C., español, mayor de edad y con domicilio en la calle Trompeta, n£ 34 de la localidad
de San Sebastián de los Reyes, municipio de Madrid perteneciente al Partido Judicial de
Alcobendas, contrató los servicios de la empresa constructora ""Arcosa SL"" con la finalidad de
reformar la cocina y el cuarto de baño de su domicilio.

A la conclusión de las reformas, y como forma de pago, Venancio extendió a favor de la empresa
""Arcosa SL"" un cheque por el importe de 35.000 euros.

Al intentar cobrar el cheque en plazo, resultó que no había fondos disponibles en la cuenta del
librador.

Ante dicha situación, la empresa acreedora decidió reclamar dichas cantidades judicialmente a
través del juicio cambiario que regula la Ley 1/2000, de 7 de enero, de Enjuiciamiento Civil.

Venancio percibe una prestación por desempleo cuya cuantía es igual al salario mínimo
interprofesional.

Además, posee como de su propiedad un vehículo con matrícula OO00-AAA, así como el piso al que
se ha hecho referencia anteriormente y un perro bulldog.

CUESTIONES:"
