supuesto_id,pregunta,opcion_a,opcion_b,opcion_c,opcion_d
1,"1. El tribunal con competencia objetiva y territorial para la tramitación del
procedimiento será: Art.52.1.72",El Tribunal de Instancia de Lloret de Mar.,El Tribunal de Instancia de Blanes.,El Juez de Paz de Lloret de Mar.,El Tribunal de Instancia de Badajoz.
1,2. Los hechos objeto de demanda se tramitarán por: Art.250.1.42,Juicio ordinario.,Juicio verbal.,"Juicio ordinario o verbal, según la cuantía del procedimiento.","Juicio ordinario o verbal, a elección del demandante."
1,3. Para la interposición de la demanda: Arts. 23.1 y 31.1,No será necesario abogado y procurador.,"Será necesario abogado y procurador, al ser la demandante persona jurídica.",Será necesario abogado y procurador.,"No será necesario abogado y procurador, pero sí para todo escrito o actuación
posterior."
1,"4. En el supuesto que nos ocupa, ¿contra quién se dirigirá la demanda? Art.437 3 bis","Podrá dirigirse genéricamente contra los desconocidos ocupantes de la vivienda,
sin perjuicio de la notificación que de ella se realice a quien en concreto se
encontrare en el inmueble al tiempo de llevar a cabo dicha notificación.","Deberá dirigirse genéricamente contra los desconocidos ocupantes de la vivienda,
sin perjuicio de la notificación que de ella se realice a quien en concreto se encontrare
en el inmueble al tiempo de llevar a cabo dicha notificación.","Podrá dirigirse contra los ocupantes de la vivienda, haciendo constar al menos el
nombre y apellido de los mismos, sin perjuicio de la notificación que de ella se realice
a quien en concreto se encontrare en el inmueble al tiempo de llevar a cabo dicha
notificación.",Ninguna es correcta.
1,5. A la demanda que interpone Ana María deberá acompañar: Art.437.3 bis,Certificación catastral en que el actor funde su derecho a poseer.,El título en que el actor funde su derecho a poseer.,"Certificación registral y escritura del inmueble en que el actor funde su derecho a
poseer.",Nota simple del registro de la propiedad en que el actor funde su derecho a poseer.
1,"6. Admitida la demanda, se dará traslado de ella a los ocupantes del inmueble para
que la contesten por escrito en el plazo de: Art. 438.1 LEC",Diez días conforme a lo dispuesto para el j ordinario.,Diez días conforme a lo dispuesto para el juicio verbal.,Veinte días conforme a lo dispuesto para el juicio ordinario.,Veinte días conforme a lo dispuesto para el juicio verbal.
1,"7. ¿Qué normativa modificó el artículo 439 de la LEC, introduciendo nuevos requisitos
para la admisión de la demanda, en los casos de los números 1%, 22, 42 y 72 del
apartado 1 del artículo 250?","El Real Decreto-ley 6/2023, de 19 de diciembre.","La Ley 12/2023, de 24 de mayo.","El Real Decreto-Ley 6/2023, de 19 de noviembre.","La ley 12/2023, de 24 de junio."
1,8. En el tipo desahucio a que se refiere el supuesto práctico: Art.438.2,La pareja de ocupas podrá formular reconvención.,"La pareja de ocupas, sólo podrá formular reconvención cuando esta sea de cuantía
inferior a 15.000€ y exista conexión entre las pretensiones de la reconvención y las que
sean objeto de la demanda principal.",En ningún caso de admitirá la reconvención.,Únicamente se podrá formular reconvención cuando esta sea de cuantía superior a
1,"9. Cuando se trate de una demanda de recuperación de la posesión de una vivienda o
parte de ella que se tramite según lo previsto en el artículo 250.1.4%, al notificar la
demanda: Art.441.1 bis","Quien realice el acto de comunicación deberá ir acompañado de los agentes de la
autoridad.","Quien realice el acto de comunicación podrá ir acompañado de los agentes de la
autoridad.",No se podrá hacer la notificación a los ignorados ocupantes de la vivienda.,La notificación deberá hacerse a través del Tablón edictal judicial único.
1,"10. Si el demandante hubiera solicitado la inmediata entrega de la posesión de la
vivienda: Art.441.1 bis","En el decreto de admisión a trámite de la demanda se requerirá a sus ocupantes
para que aporten, en el plazo de diez días desde la notificación de aquella, título que
justifique su situación posesoria.","En el decreto de admisión a trámite de la demanda se requerirá a sus ocupantes
para que aporten, en el plazo de cinco días desde la notificación de aquella, título
que justifique su situación posesoria.","En el decreto de admisión a trámite de la demanda se requerirá a sus ocupantes
para que aporten, en el plazo de treinta días desde la notificación de aquella, título
que justifique su situación posesoria.","En el decreto de admisión a trámite de la demanda se requerirá a sus ocupantes
para que aporten, en el plazo de siete días desde la notificación de aquella, título que
justifique su situación posesoria."
1,"11. Si no se aportara justificación suficiente, el tribunal ordenará mediante: Art.441.1
bis","Auto el desalojo de los ocupantes y la inmediata entrega de la posesión de la
vivienda al demandante, siempre que el título que se hubiere acompañado a la
demanda fuere bastante para la acreditación de su derecho a poseer.","Providencia el desalojo de los ocupantes y la inmediata entrega de la posesión de la
vivienda al demandante, siempre que el título que se hubiere acompañado a la
demanda fuere bastante para la acreditación de su derecho a poseer.","Decreto el desalojo de los ocupantes y la inmediata entrega de la posesión de la
vivienda al demandante, siempre que el título que se hubiere acompañado a la
demanda fuere bastante para la acreditación de su derecho a poseer.","Sentencia el desalojo de los ocupantes y la inmediata entrega de la posesión de la
vivienda al demandante, siempre que el título que se hubiere acompañado a la
demanda fuere bastante para la acreditación de su derecho a poseer."
1,12. Contra la resolución que decida sobre el incidente: Art.441.1 bis,"No cabrá recurso alguno y se llevará a efecto únicamente contra la pareja de
ocupas.","No cabrá recurso alguno y se llevará a efecto contra cualquiera de los ocupantes
que se encontraren en ese momento en la vivienda.","Cabrá recurso de apelación y se llevará a efecto contra cualquiera de los ocupantes
que se encontraren en ese momento en la vivienda.","Cabrá recurso de apelación y se llevará a efecto únicamente contra la pareja de
ocupas."
